,city,latitude,lon,temp,humidity,visibility,cloudiness,speed,lat
94,nanortalik,,-45.24,31.66,91,10000,100,4.97,60.14
95,saskylakh,,114.08,-34.94,82,7203,22,2.28,71.92
96,ushumun,,126.53,-4.99,83,10000,100,12.8,52.78
97,port lincoln,,135.87,55.58,70,10000,14,10.0,-34.73
98,cape town,,18.42,72.64,57,10000,0,26.4,-33.93
99,yatou,,122.38,26.67,87,10000,100,7.11,37.15
100,orange,,-117.77,51.96,62,10000,40,2.39,33.7
101,villa carlos paz,,-64.5,88.66,42,10000,0,14.99,-31.42
102,avarua,,-159.78,80.6,88,10000,95,8.05,-21.21
103,tuktoyaktuk,,-133.04,-14.8,75,4828,90,3.36,69.45
104,jining,,116.58,32.85,78,10000,100,3.09,35.41
105,portland,,-122.68,43.68,75,10000,90,9.17,45.52
106,kindu,,25.95,82.51,69,10000,66,2.93,-2.95
107,chuy,,-53.46,78.33,58,10000,2,8.72,-33.7
108,banjar,,114.97,80.6,83,10000,75,14.99,-8.19
109,hervey bay,,152.85,77.0,86,10000,39,1.01,-25.3
110,patitirion,,23.87,53.64,76,10000,75,4.7,39.15
111,talcahuano,,-73.12,62.6,67,10000,20,10.29,-36.72
112,dikson,,80.55,-17.39,88,183,100,17.78,73.51
113,kodiak,,-152.41,37.4,86,9656,90,17.22,57.79
114,komsomolskiy,,71.72,26.6,68,3200,0,2.77,40.43
115,marcona,,71.72,26.6,68,3200,0,2.77,40.43
116,san gabriel,,-118.11,52.5,53,10000,1,3.36,34.1
117,hilo,,-155.09,64.62,89,10000,47,3.0,19.73
118,los andes,,-70.6,81.0,39,10000,0,7.7,-32.83
119,carnarvon,,113.63,73.4,83,10000,0,20.8,-24.87
120,yerani,,113.63,73.4,83,10000,0,20.8,-24.87
121,port hedland,,118.57,82.4,88,10000,51,14.99,-20.32
122,oyugis,,34.74,80.6,61,10000,40,16.11,-0.51
123,pevek,,170.31,8.89,91,10000,34,13.38,69.7
124,hamilton,,-84.53,30.45,95,9656,90,3.36,39.18
125,san pedro,,121.02,78.26,88,10000,40,2.24,14.35
126,donghai,,115.64,57.99,71,10000,13,1.99,22.95
127,vilyuysk,,121.62,-36.96,82,10000,30,5.19,63.76
128,mokhsogollokh,,128.92,-22.72,84,2189,100,8.03,61.47
129,keighley,,-1.91,46.96,81,10000,20,17.22,53.87
130,mattru,,-11.83,84.16,62,10000,100,1.01,7.62
131,nantucket,,-70.1,44.33,93,2816,90,20.8,41.28
132,saldanha,,17.94,66.72,76,10000,26,25.99,-33.01
133,plakhtiyivka,,29.72,39.7,79,10000,100,6.4,46.1
134,belushya guba,,29.72,39.7,79,10000,100,6.4,46.1
135,phan thiet,,108.1,75.43,82,10000,100,8.43,10.93
136,saint-gabriel,,-73.38,10.94,78,10000,100,20.8,46.3
137,ponta delgada,,-25.67,64.4,88,10000,20,16.11,37.73
138,alofi,,-169.92,75.2,94,10000,100,6.93,-19.06
139,novo aripuana,,-60.38,91.36,53,10000,55,2.55,-5.12
140,victoria,,114.16,57.76,71,10000,14,1.01,22.29
141,beckley,,-81.19,32.34,98,2414,90,6.93,37.78
142,nizhneyansk,,-81.19,32.34,98,2414,90,6.93,37.78
143,thompson,,-97.86,-18.4,82,10000,75,2.24,55.74
144,sentyabrskiy,,-97.86,-18.4,82,10000,75,2.24,55.74
145,wajima,,136.9,41.27,71,8017,96,14.41,37.4
146,lufilufi,,-171.6,82.0,88,10000,99,15.99,-13.87
147,pisco,,-76.22,68.92,73,10000,0,5.82,-13.7
148,bethel,,-73.41,24.01,79,2012,100,18.34,41.37
149,luderitz,,15.16,77.32,45,10000,0,31.12,-26.65
150,sisimiut,,-53.67,17.33,86,10000,99,5.32,66.94
151,jizan,,42.67,84.2,62,10000,0,9.17,17.33
152,paamiut,,-49.67,31.21,93,10000,96,20.69,61.99
153,sao joao da barra,,-41.05,86.0,58,10000,0,13.87,-21.64
154,caravelas,,-39.25,85.41,50,10000,0,9.53,-17.71
155,rikitea,,-134.97,76.17,76,10000,35,13.69,-23.12
156,cartagena del chaira,,-74.84,85.14,60,10000,75,6.69,1.33
157,hovd,,91.64,-0.98,85,10000,0,1.41,48.01
158,mahebourg,,57.7,80.6,78,10000,75,14.99,-20.41
159,ahipara,,173.17,55.8,90,10000,2,4.18,-35.17
160,vaitupu,,173.17,55.8,90,10000,2,4.18,-35.17
161,attawapiskat,,173.17,55.8,90,10000,2,4.18,-35.17
162,muros,,-9.06,55.0,85,10000,100,13.0,42.78
163,kavaratti,,72.64,82.99,70,10000,5,6.67,10.57
164,sept-iles,,-66.38,5.76,60,10000,33,10.29,50.2
165,nortelandia,,-56.8,97.52,38,10000,0,3.09,-14.45
166,garowe,,48.48,81.14,54,10000,78,19.55,8.41
167,palu,,119.87,76.01,81,10000,100,1.74,-0.89
168,grand river south east,,119.87,76.01,81,10000,100,1.74,-0.89
169,san patricio,,-97.52,46.72,87,10000,1,6.93,28.02
170,huarmey,,-78.15,73.49,70,10000,4,9.24,-10.07
171,bjornevatn,,29.98,10.4,85,10000,20,8.05,69.67
172,cabo san lucas,,-109.91,53.6,87,10000,5,8.05,22.89
173,erenhot,,111.98,-1.55,86,10000,0,6.35,43.65
174,chingirlau,,54.08,17.94,96,10000,99,7.7,51.09
175,razole,,81.83,74.21,81,10000,18,4.99,16.48
176,zunyi,,106.91,35.62,77,10000,95,1.48,27.69
177,fukue,,128.84,47.19,56,10000,63,9.42,32.69
178,tuatapere,,167.68,54.0,84,10000,100,4.0,-46.13
179,tautira,,-149.15,77.0,78,10000,75,2.24,-17.73
180,road town,,-64.62,82.15,78,10000,20,9.17,18.42
181,madaoua,,5.96,90.97,11,10000,53,12.64,14.07
182,nyanguge,,33.2,78.8,65,10000,40,11.41,-2.55
183,ewo,,14.82,81.55,72,5372,100,4.72,-0.87
184,marinhas,,-8.78,56.28,72,10000,20,9.17,41.56
185,los llanos de aridane,,-17.92,65.12,64,10000,20,13.87,28.66
186,monroe,,-77.68,22.01,85,9656,75,4.7,43.15
187,cockburn town,,-71.14,79.2,80,10000,15,15.73,21.46
188,ohafia,,7.83,94.28,34,10000,81,0.94,5.62
189,manica,,-1.17,53.6,76,10000,20,11.41,49.0
190,illoqqortoormiut,,-1.17,53.6,76,10000,20,11.41,49.0
191,santa maria do suacui,,-42.41,79.12,65,10000,100,4.97,-18.19
192,bilibino,,166.44,-8.32,86,10000,27,8.21,68.05
193,puerto ayora,,-90.35,73.2,73,10000,0,12.75,-0.74
194,cao bang,,106.25,51.46,51,10000,100,1.14,22.67
195,babanusah,,106.25,51.46,51,10000,100,1.14,22.67
196,boundiali,,-6.49,96.8,25,10000,20,4.52,9.52
197,norman wells,,-126.83,-50.8,71,10000,20,3.36,65.28
198,port elizabeth,,25.57,73.4,73,10000,20,16.11,-33.92
199,dawei,,98.2,74.82,84,10000,5,3.47,14.08
200,peterhead,,-1.8,46.13,81,10000,11,8.05,57.51
201,ilulissat,,-51.1,12.2,66,10000,20,2.24,69.22
202,songea,,35.65,80.6,54,10000,40,13.87,-10.68
203,karauzyak,,35.65,80.6,54,10000,40,13.87,-10.68
204,gweta,,25.23,76.91,68,10000,100,13.27,-20.18
205,chester,,-75.87,27.1,74,10000,1,10.29,40.13
206,ingersoll,,-80.88,21.94,92,10000,90,11.41,43.03
207,korla,,86.15,19.83,85,10000,23,0.67,41.76
208,pokrovsk,,37.18,29.98,96,10000,71,5.41,48.28
209,kruisfontein,,24.73,75.99,63,10000,100,7.0,-34.0
210,yeppoon,,150.73,80.6,74,10000,74,4.7,-23.13
211,kharan,,65.42,52.2,36,10000,0,2.13,28.58
212,balykshi,,51.87,30.2,74,7000,40,6.71,47.07
213,virginia beach,,-75.98,39.63,80,10000,0,3.0,36.85
214,cidreira,,-50.21,76.41,75,10000,9,18.32,-30.18
215,barentsburg,,-50.21,76.41,75,10000,9,18.32,-30.18
216,tiksi,,128.87,-20.27,86,1391,98,1.1,71.69
217,eureka,,-124.16,47.08,94,10000,91,1.99,40.8
218,lensk,,114.93,-6.56,87,1010,100,10.31,60.73
219,upernavik,,-56.15,10.69,84,10000,74,6.06,72.79
220,saleaula,,-56.15,10.69,84,10000,74,6.06,72.79
221,ikalamavony,,46.58,81.43,52,10000,11,13.04,-21.15
222,labuhan,,112.21,76.98,88,10000,100,7.76,-6.88
223,wau,,28.0,94.82,13,10000,88,5.1,7.7
224,maniitsoq,,-52.9,24.31,85,10000,94,8.7,65.42
225,codrington,,141.97,52.68,85,10000,75,14.74,-38.27
226,dwarka,,68.97,71.26,55,10000,0,18.28,22.24
227,tornio,,24.15,5.0,92,10000,0,2.24,65.85
228,gravelbourg,,-106.55,21.2,79,10000,100,8.05,49.88
229,sidi ali,,0.42,59.77,79,10000,89,8.46,36.1
230,bandarbeyla,,50.81,76.91,83,10000,100,23.82,9.49
231,ban dung,,103.26,71.01,68,10000,2,7.2,17.7
232,bengkulu,,102.27,75.79,87,10000,99,4.79,-3.8
233,mogocha,,119.77,-13.56,84,10000,81,3.74,53.73
234,almaznyy,,40.05,32.0,95,3500,75,2.24,48.04
235,cherskiy,,161.3,-18.74,87,2182,99,2.84,68.75
236,ruhengeri,,29.64,78.8,54,7000,40,13.87,-1.5
237,buin,,-70.75,72.82,25,10000,0,3.36,-33.73
238,skvyra,,29.67,33.12,94,10000,99,1.05,49.73
239,lebu,,-73.65,61.27,56,10000,33,12.46,-37.62
240,kandrian,,149.55,78.33,86,10000,96,5.19,-6.22
241,kavieng,,150.8,83.44,74,10000,100,8.3,-2.57
242,iqaluit,,-68.51,1.4,64,10000,90,9.17,63.75
243,kisangani,,25.2,91.4,55,8000,40,6.93,0.52
244,tumannyy,,25.2,91.4,55,8000,40,6.93,0.52
245,darhan,,105.92,-0.65,85,10000,0,7.07,49.49
246,moa,,-74.94,81.03,69,10000,8,8.75,20.66
247,abancay,,-72.88,48.2,81,8000,75,3.36,-13.63
248,havelock,,-76.9,40.35,93,10000,90,8.05,34.88
249,mys shmidta,,-76.9,40.35,93,10000,90,8.05,34.88
250,shar,,81.05,2.71,88,10000,31,12.01,49.59
251,college,,-147.8,-10.43,56,10000,20,6.93,64.86
252,port macquarie,,152.92,73.4,94,10000,90,5.82,-31.43
253,yei,,30.68,88.02,23,10000,86,4.81,4.09
254,nerchinskiy zavod,,119.61,-15.0,82,10000,24,4.9,51.31
255,hanyang,,105.51,41.0,73,10000,82,2.42,32.14
256,mackenzie,,-123.17,26.6,92,10000,90,3.36,55.3
257,kovernino,,43.81,34.11,96,52,100,10.8,57.13
258,najran,,44.13,78.8,22,10000,0,6.93,17.49
259,srednekolymsk,,153.68,-18.38,87,6354,99,8.37,67.45
260,koumac,,164.28,76.03,70,10000,100,4.92,-20.57
261,tawkar,,164.28,76.03,70,10000,100,4.92,-20.57
262,richards bay,,32.04,77.94,65,10000,67,11.3,-28.78
263,bairiki,,172.98,80.6,88,10000,20,6.93,1.33
264,halalo,,172.98,80.6,88,10000,20,6.93,1.33
265,harindanga,,88.32,68.0,68,3000,34,5.44,22.04
266,arman,,150.17,-9.04,84,10000,33,14.27,59.7
267,kapaa,,-159.32,68.0,59,10000,4,10.96,22.08
268,opuwo,,13.84,90.5,19,10000,91,4.14,-18.06
269,alexandria,,29.96,65.12,68,10000,8,8.93,31.22
270,san felipe,,-68.74,81.54,73,10000,25,3.29,10.34
271,kansanshi,,26.43,71.73,92,10000,99,5.5,-12.1
272,alice springs,,133.88,90.63,24,10000,97,16.11,-23.7
273,merauke,,140.33,80.83,83,7037,98,5.75,-8.47
274,labytnangi,,66.42,7.61,89,10000,2,9.57,66.66
275,vardo,,31.11,14.04,78,10000,20,11.41,70.37
276,ponta do sol,,-17.1,61.03,63,10000,40,9.17,32.67
277,makakilo city,,-158.09,70.48,100,10000,1,6.93,21.35
278,cassilandia,,-51.73,88.29,56,10000,58,3.85,-19.11
279,lusambo,,23.45,81.07,66,10000,99,2.04,-4.97
280,palabuhanratu,,23.45,81.07,66,10000,99,2.04,-4.97
281,temaraia,,23.45,81.07,66,10000,99,2.04,-4.97
282,cap malheureux,,57.61,79.0,79,10000,25,8.01,-19.98
283,ojinaga,,-104.42,32.0,43,10000,1,1.7,29.57
284,esmeraldas,,-44.31,82.99,48,10000,0,3.36,-19.76
285,tadpatri,,78.02,75.42,71,10000,70,7.7,14.92
286,makokou,,12.86,84.2,66,10000,40,9.17,0.57
287,diapaga,,1.79,96.37,10,10000,92,11.05,12.07
288,paradwip,,1.79,96.37,10,10000,92,11.05,12.07
289,melito di porto salvo,,15.77,56.71,67,10000,100,6.93,37.92
290,vao,,167.48,75.31,73,10000,1,15.59,-22.67
291,kuche,,167.48,75.31,73,10000,1,15.59,-22.67
292,malanje,,16.34,80.6,83,10000,75,18.34,-9.54
293,berlin,,13.41,44.98,81,10000,0,9.17,52.52
294,paratinga,,-43.18,94.64,39,10000,48,1.54,-12.69
295,marsh harbour,,-77.06,76.78,77,10000,14,14.94,26.54
296,bambous virieux,,57.76,79.84,78,10000,75,14.99,-20.34
297,nishihara,,127.76,61.07,67,10000,90,9.17,26.18
298,leningradskiy,,178.42,14.59,94,514,100,24.63,69.38
299,yerbogachen,,108.01,-7.69,89,10000,100,6.44,61.28
300,te anau,,167.72,55.8,89,10000,98,2.48,-45.42
301,nenjiang,,125.22,-4.85,86,10000,33,7.63,49.18
302,xai-xai,,33.64,76.15,86,10000,100,6.8,-25.05
303,torbay,,-52.73,29.28,79,10000,90,20.8,47.67
304,vestmanna,,-7.17,46.4,100,10000,88,13.87,62.16
305,kamenka,,42.77,28.0,93,2910,96,8.01,51.32
306,bereda,,-7.54,50.0,79,10000,100,8.99,43.27
307,shenjiamen,,122.3,50.72,67,10000,99,13.31,29.96
308,tsabong,,22.4,90.39,26,10000,92,10.2,-26.02
309,kutum,,24.67,76.96,16,10000,58,8.99,14.2
310,pouebo,,164.57,74.98,76,10000,100,10.89,-20.4
311,geraldton,,114.6,71.6,64,10000,0,25.28,-28.77
312,samusu,,114.6,71.6,64,10000,0,25.28,-28.77
313,skjervoy,,20.97,21.2,62,10000,0,25.28,70.03
314,ambulu,,113.61,77.31,87,10000,99,2.77,-8.35
315,castro,,-50.01,72.61,79,10000,90,6.2,-24.79
316,coquimbo,,-71.34,57.2,87,10000,90,8.05,-29.95
317,asfi,,-9.24,62.55,67,10000,8,18.23,32.3
318,agadir,,-9.6,68.0,45,10000,20,6.93,30.42
319,athabasca,,-113.29,12.09,85,2259,100,6.93,54.72
320,zemio,,25.14,94.8,17,10000,25,4.36,5.03
321,cayenne,,-52.33,84.2,79,10000,75,11.41,4.93
322,meulaboh,,96.13,76.86,89,10000,100,3.06,4.14
323,santa isabel do rio negro,,-65.02,80.13,89,9514,85,2.91,-0.41
324,moyale,,39.06,77.13,33,10000,52,10.07,3.52
325,saint anthony,,-93.22,21.7,73,10000,90,6.93,45.02
326,roebourne,,117.13,85.08,61,10000,42,15.21,-20.78
327,rawannawi,,117.13,85.08,61,10000,42,15.21,-20.78
328,suicheng,,117.93,33.67,80,10000,99,1.16,33.9
329,wenatchee,,-120.31,31.66,92,402,75,2.55,47.42
330,weligama,,80.42,77.27,78,10000,100,2.46,5.97
331,whitehorse,,-135.05,-4.0,76,10000,90,4.7,60.72
332,tura,,90.22,58.51,55,10000,0,1.05,25.52
333,luanda,,13.23,84.2,62,10000,40,11.41,-8.84
334,chipata,,32.65,75.76,75,10000,100,4.27,-13.63
335,jalu,,21.55,65.7,50,10000,28,7.83,29.03
336,labutta,,21.55,65.7,50,10000,28,7.83,29.03
337,narsaq,,-46.05,42.8,30,10000,75,13.87,60.92
338,slave lake,,-114.77,6.8,84,2012,90,21.92,55.28
339,laguna,,-121.42,47.93,93,3219,75,6.93,38.42
340,kissimmee,,-81.42,60.66,100,10000,90,10.18,28.3
341,jinchang,,102.17,15.94,78,10000,100,2.51,38.5
342,avera,,-82.53,40.41,76,10000,90,8.05,33.19
343,tanout,,8.89,84.47,14,10000,52,11.97,14.97
344,lorengau,,147.27,83.16,74,10000,100,5.68,-2.02
345,tabou,,-7.35,83.68,70,10000,79,9.44,4.42
346,grindavik,,-22.43,39.2,69,10000,0,19.46,63.84
347,esperance,,121.9,57.2,71,10000,0,9.17,-33.87
348,sakaiminato,,133.23,35.6,62,10000,75,6.93,35.55
349,chocaman,,-97.02,56.48,89,6008,100,1.66,19.02
350,mitu,,-70.17,80.13,92,5754,100,3.56,1.2
351,shwebo,,95.7,70.72,70,10000,0,3.96,22.57
352,aklavik,,-135.01,-29.2,73,10000,75,5.1,68.22
353,puerto madero,,-92.42,73.4,100,10000,5,2.24,14.72
354,bay city,,-83.89,27.95,74,10000,90,4.05,43.59
355,bafoulabe,,-10.83,102.54,11,10000,53,4.65,13.81
356,paraiso,,-83.87,69.93,73,10000,40,10.29,9.84
357,asyut,,31.18,66.11,48,10000,0,9.42,27.18
358,kuching,,110.33,80.31,83,10000,20,2.24,1.55
359,tilichiki,,166.1,1.27,94,10000,100,10.45,60.47
360,yumen,,97.2,13.6,84,10000,100,8.79,40.28
361,kaitangata,,169.85,54.0,78,10000,100,5.01,-46.28
362,wonthaggi,,145.59,61.03,85,10000,98,14.5,-38.6
363,poso,,120.75,77.11,83,10000,100,4.14,-1.4
364,yellowknife,,-114.35,-34.6,73,10000,90,6.93,62.46
365,shimoda,,138.95,34.0,73,10000,0,8.05,34.67
366,porto empedocle,,13.53,56.46,82,10000,75,4.7,37.29
367,keti bandar,,67.45,64.58,26,10000,0,12.8,24.14
368,salinopolis,,-47.36,86.34,65,10000,96,11.77,-0.61
369,yar-sale,,70.83,12.78,95,1382,52,20.13,66.83
370,turukhansk,,87.98,-1.12,92,152,100,18.03,65.82
371,gillette,,-105.5,30.25,87,10000,1,20.8,44.29
372,maceio,,-35.74,84.2,66,10000,75,12.75,-9.67
373,ulladulla,,150.47,70.74,69,10000,0,9.17,-35.35
374,port shepstone,,30.45,74.68,76,10000,36,11.1,-30.74
375,vila velha,,-40.29,85.66,58,10000,40,10.29,-20.33
376,nizamabad,,78.12,72.52,51,10000,3,5.08,18.67
377,anloga,,0.9,89.6,62,10000,20,11.41,5.79
378,pabna,,89.25,68.68,51,10000,0,5.84,24.0
379,namatanai,,152.43,81.46,78,10000,95,7.47,-3.67
380,handwara,,152.43,81.46,78,10000,95,7.47,-3.67
381,pandan,,124.17,79.83,82,9278,91,18.79,14.05
382,sayansk,,102.16,-3.06,91,10000,99,6.24,54.11
383,kijang,,129.21,30.2,36,10000,0,2.24,35.24
384,fare,,-151.02,80.24,78,10000,90,18.37,-16.7
385,zyryanka,,150.85,-16.58,89,472,100,4.92,65.75
386,pokhara,,83.98,52.93,43,10000,0,3.94,28.23
387,buala,,159.59,81.1,77,10000,100,5.1,-8.14
388,antalaha,,50.28,80.35,76,10000,2,10.89,-14.9
389,bonavista,,-53.11,26.6,86,1038,92,6.93,48.65
390,moree,,149.85,80.6,65,10000,0,14.99,-29.47
391,puerto madryn,,-65.04,76.68,25,10000,65,20.87,-42.77
392,okhotsk,,143.3,-10.07,83,10000,96,15.23,59.38
393,mabaruma,,-59.78,80.69,90,6744,78,4.65,8.2
394,saint-louis,,-15.0,93.36,11,10000,90,12.33,16.33
395,saint-leu,,55.28,72.01,74,10000,0,18.34,-21.15
396,provideniya,,-173.3,8.19,92,10000,100,23.2,64.38
397,haines junction,,-137.51,-5.8,83,1005,100,2.24,60.75
398,mehamn,,27.85,24.8,68,10000,0,9.17,71.04
399,amderma,,27.85,24.8,68,10000,0,9.17,71.04
400,srandakan,,110.25,66.0,95,10000,100,5.5,-7.94
401,madang,,145.8,77.16,88,10000,79,2.71,-5.22
402,svetlogorsk,,29.73,33.21,95,10000,100,2.89,52.63
403,parauna,,-50.45,86.04,48,10000,97,5.06,-16.95
404,saint-pierre,,55.48,73.24,74,10000,0,18.34,-21.34
405,jamui,,86.22,62.46,53,10000,0,5.73,24.92
406,ust-kamchatsk,,86.22,62.46,53,10000,0,5.73,24.92
407,muyezerskiy,,31.65,11.91,96,10000,38,5.19,63.93
408,hokitika,,170.97,59.22,95,10000,80,2.08,-42.72
409,lasa,,10.7,38.41,64,10000,20,1.77,46.62
410,gasa,,34.47,60.22,100,10000,24,7.38,31.5
411,maghama,,34.47,60.22,100,10000,24,7.38,31.5
412,nova vicosa,,-39.37,83.89,55,10000,24,9.71,-17.89
413,katherine,,132.27,77.0,94,10000,75,9.17,-14.47
414,surt,,16.59,65.12,52,10000,55,8.23,31.21
415,helena,,-112.04,30.74,59,10000,1,8.05,46.59
416,alta floresta,,-56.09,90.95,51,10000,0,4.07,-9.88
417,nioro,,-15.75,99.14,10,10000,58,6.11,13.35
418,sonoita,,-112.83,43.0,34,10000,74,3.62,31.85
419,jiazi,,116.07,57.88,72,10000,0,12.1,22.88
420,chumikan,,135.31,-11.09,82,10000,2,17.67,54.72
421,promysla,,135.31,-11.09,82,10000,2,17.67,54.72
422,yirol,,135.31,-11.09,82,10000,2,17.67,54.72
423,santa cruz del sur,,-78.0,78.4,69,10000,8,7.96,20.71
424,isangel,,169.27,75.02,79,10000,5,12.12,-19.55
425,longyearbyen,,15.64,14.0,66,10000,40,24.16,78.22
426,libreville,,9.45,86.0,74,10000,20,5.82,0.39
427,dunedin,,170.5,54.0,85,10000,100,4.0,-45.87
428,markova,,24.41,35.29,93,10000,90,2.24,48.68
429,maneromango,,38.78,86.0,66,10000,40,9.17,-7.2
430,marsaxlokk,,14.54,63.41,77,10000,75,6.93,35.84
431,mao,,4.27,62.6,82,10000,75,11.41,39.89
432,kigoma,,29.63,73.4,83,10000,75,12.75,-4.88
433,conceicao do araguaia,,-49.26,94.46,48,10000,0,3.22,-8.26
